# Loan deltaRoads
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
