# Loan deltaRailVehicles
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
